序号,关联条目,文档标题,发文机关,文号,发布日期,出处链接,原文关键条款(逐字摘录),备注
11,生育保险报销与生育津贴,本月起，这笔钱直接发放至个人！（生育津贴直接发放至个人）,广州市人民政府门户,（政策宣传）,2025-12-03,https://www.gz.gov.cn/zt/shb/content/post_10577393.html,好消息来了！广州市生育保险政策迎来新变化！2025年12月1日起生育津贴由参保职工本人申请，直接发放至个人，无需再通过用人单位申请。……符合《广东省职工生育保险规定》生育津贴领取条件的参保职工，在2025年12月1日（含当日）后分娩、终止妊娠或实施计划生育手术的，可按规定由职工本人申请生育津贴，直接发放至个人。……职工可通过穗好办APP、穗好办微信公众号、广东政务服务网线上办理，或携资料前往广州市各医保分中心服务大厅办理。,主依据文件;津贴低于原工资由单位补足;2025-11-30前生育仍按原渠道;另有市医保中心通知
12,门诊慢特病与大病保险,广东多项医保新措1月1日起实施,广州市人民政府门户（省医保局解读）,（政策宣传）,2025-01-01,https://www.gz.gov.cn/zwfw/zxfw/ylfw/content/post_10056615.html,自2025年起，对连续参加居民医保满4年的参保人员，之后每连续参保1年，提高大病保险最高支付限额3800元；对当年基金零报销的居民医保参保人员，次年提高大病保险最高支付限额3800元。两项激励额度可累加。……慢性阻塞性肺疾病（即慢阻肺）、类风湿关节炎、冠心病、病毒性肝炎、强直性脊柱炎自2025年1月1日起可实现跨省直接结算。……省内跨市就医人员可在符合资质的就医市定点医疗机构办理全省统一的门诊特定病种待遇认定，全省规定范围内的门诊特定病种，参保人员待遇认定信息全省互认。,主依据文件;门特分类/待遇另见穗医保规字〔2019〕4号(已续期);大病保险无需单独缴费
13,天河区人才公寓,关于受理天河区人才公寓申请的公告,广州市天河区住房建设和园林局,（《天河区人才公寓建设和使用管理办法》为依据）,2025-08-11,http://www.thnet.gov.cn/thqzdlyxxgkzl/zfbz/bzxzffphtcxx/content/post_10393698.html,申请租赁人才公寓的人才一般应具有大学本科及以上学历或中级及以上职称；不符合学历或职称条件的，上年度年薪应当在30万元以上。……申请租赁人才公寓的人才及其配偶、未成年子女没有在广州市通过购买、受赠、继承或其他途径获得自有产权住房所有权；申请租赁人才公寓的人才及其配偶没有享受其他住房保障（含公共租赁住房、市本级共有产权住房、廉租房、住房补贴）。……本批次人才公寓共66套……富力大厦32.5元/平方米/月、珠江嘉苑18元/平方米/月、棠雅苑38元/平方米/月、誉城苑50元/平方米/月。……人才公寓合同租赁期限不超过3年。,天河区亮点:港澳台青年人才18-45周岁在指定基地就业创业可申请;受理电话区委组织部020-38622165/科工信局020-38200174/统战部020-38622235;批次受理
14,住房租赁补贴,广州市住房和城乡建设局关于进一步加强户籍家庭住房保障工作的通知,广州市住房和城乡建设局,穗建规字〔2024〕5号,2024-03-04,https://www.gz.gov.cn/gfxwj/sbmgfxwj/gzszfhcxjsj/content/post_9518264.html,户籍家庭公共租赁住房保障收入准入限额基准为家庭年人均收入49952元。……住房租赁补贴按照人均保障建筑面积、家庭保障人口、补贴标准、收入水平、区域等因素确定。补贴标准为建筑面积每平方米37元……计算公式为：住房租赁补贴＝（人均保障建筑面积标准－人均自有产权住房建筑面积）×家庭保障人口×补贴标准×收入补贴系数×区域补贴系数。按上述公式计算每户每月住房租赁补贴不足200元的，按照200元／月予以发放。,主依据文件;有效期5年(2024-03-04至2029-03-03);60岁以上家庭标准放宽至130%;低保等困难家庭及轮候超5年可领
15,出租屋租赁备案（城中村）,房屋租赁登记备案可以网办吗？您想了解的在这里！,广州市天河区住房建设和园林局,（依据《广州市房屋租赁合同登记备案规则》）,2023-07-27,http://www.thnet.gov.cn/thdt/tzgg/qtgg/content/post_9129358.html,"《广州市房屋租赁合同登记备案规则》明确要求，房屋租赁当事人（双方或单方均可）应当在订立租赁合同之日起30日内办理房屋租赁登记备案手续。……需要申请材料如下：1、租赁双方当事人身份证明；2、房屋权属证明或者房屋合法来源资料（房产证，宅基地证）；3、房屋租赁合同。……房屋租赁登记备案，既可以在天河区内各街道便民服务中心办理，也可通过广州市房屋租赁信息服务平台或""穗好办""APP申请登记备案。",天河区亮点:城中村出租屋同样适用;备案证明是居住证/积分入学/积分入户的合法稳定住所凭证;附天河21街道便民服务中心电话地址
16,创业担保贷款,创业担保贷款常见问题,广州市人力资源和社会保障局（市劳动就业服务管理中心）,（政务问答）,2025-11-18,https://rsj.gz.gov.cn/zmhd/cjwt/rsrc/content/post_10555927.html,符合申请条件的个人创业担保贷款额度最高30万元；带动就业5人及以上就业的，贷款额度最高50万元。小微企业创业担保贷款最高500万元。……个人创业担保贷款每次期限最长不超过3年，小微企业创业担保贷款每次期限最长不超过2年。……创业担保贷款利率上限不超过LPR+50BP。按贷款实际利率的50%给予财政贴息。……个人借款人申请条件：……登记失业人员、就业困难人员（含残疾人）、退役军人、刑满释放人员、高校毕业生、职业院校毕业生、技工院校毕业生、化解过剩产能企业职工和失业人员、返乡创业人员、网络商户、脱贫人口及农民（以下简称重点扶持对象）自主创业自筹资金不足……1.提交贷款申请时女性不超过55周岁、男性不超过60周岁；2.有具体经营项目；3.已在广州市行政区域内办理法定登记注册手续……4.在提交贷款申请时，除助学贷款、扶贫贷款、住房贷款、购车贷款、10万元以下小额消费贷款（含信用卡消费）以外，本人及其配偶应没有其他贷款。,"主依据文件(市人社局常见问题2025-11-18);对象=重点扶持对象(登记失业/就业困难含残疾人/退役军人/刑满释放/高校毕业生/职校技校毕业生/化解过剩产能职工/返乡创业/网络商户/脱贫人口及农民);女≤55男≤60;广州登记注册;除外助学/扶贫/住房/购车/10万以下小额消费贷无其他贷款;渠道=广东政务服务网搜""广州市创业担保贷款""+广东省就业一体化云平台;9家经办银行(工中农建邮储交行+广州银行/广州农商/广发)"
17,一次性创业补贴,广州市高校毕业生创业补贴，请查收,广州市人力资源社会保障局（越秀区政府网转载）,（政务指引）,2025-04-08,http://www.yuexiu.gov.cn/ggfw/ztfw/jy2/wjybjyxx/content/post_10527377.html,"1、一次性创业资助。补贴条件：（1）初创企业的法定代表人或个体户经营者（女性不超过55周岁、男性不超过60周岁）符合以下条件之一：①普通高等学校、中等职业学校、技工院校学生（在校及毕业5年内）和出国（境）留学回国人员（领取毕业证5年内）；②军转干部、退役军人；③登记失业人员、就业困难人员、本省脱贫人口；④返乡创业人员……⑤创办驿道客栈、民宿、农家乐的人员。（2）初创企业登记注册满6个月，申请补贴当月前连续3个月有在职员工（不含该初创企业法定代表人或个体户经营者）正常缴纳社会保险费，且申请时未被市场监管部门列入""经营异常名录""。……补贴标准：10000元。补贴期限：一次性。","主依据文件(市人社局2025-04-08供稿);依据《广东省就业创业补贴申请办理指导清单》;一次性创业资助10000元,只能享受一次;登记注册之日起3年内提出申请;同文还含优秀创业项目资助(赢在广州大赛)、创业租金补贴6000元/年×≤3年、创业带动就业补贴(招3人以下每人2000元,4人以上每增1人3000元,总额最高3万)"
18,港澳青年在天河创业就业,广州市天河区深化支持港澳青年创新创业高质量发展实施办法,广州市天河区科技工业和信息化局、区人力资源和社会保障局、区委统战部,穗天科工信规字〔2023〕1号,2023-08-09,http://www.thnet.gov.cn/zwfw/zdfw/zcgaqnfz/xgzcjjd/content/post_9310665.html,本办法所称港澳青年，是指45周岁以下，具有中国国籍的香港、澳门特别行政区居民。……基地入驻企业实习的高校在读港澳青年，给予每人每月3000元实习补贴，补贴期限不超过6个月。在基地入驻企业连续就业满1年的港澳青年，符合租住天河区人才公寓条件但未入住人才公寓的，在职期间可领取每人每月1500元住房补贴，补贴期限最长为2年。在粤港澳大湾区（广东）创新创业孵化基地入驻企业连续就业满1年的港澳青年，在职期间可领取每人每年3000元交通补贴，补贴期限最长为2年，单个企业最多申报5人。在粤港澳大湾区（广东）创新创业孵化基地入驻企业连续就业满1年且取得香港或澳门执业资格证的在职港澳青年，一次性给予5万元的就业补贴，每人仅可申请一次。,"天河区亮点:港澳青年=45周岁以下中国国籍港澳居民,台湾青年参照执行;2023-09-08起施行有效期3年;另有落户补贴(天英汇大赛港澳组获奖注册天河一次性10万)、租金补贴(入驻孵化载体租金50%,每年≤5万×≤3年)、高质量发展奖励等;咨询区委统战部020-38622235"
19,就业见习,广东省高校毕业生就业创业扶持政策清单（就业见习补贴部分）,广东省人力资源社会保障厅（广州市人民政府门户发布）,（政策清单）,2026-08-03,https://www.gz.gov.cn/zwfw/zxfw/jyfw/content/post_10949160.html,用人单位（劳务派遣单位除外）组织毕业2年内高校毕业生或16—24岁失业青年参加就业见习，且每月按不低于当地最低工资80%的标准对见习人员支付工作补贴的，可按规定享受就业见习补贴。补贴标准为每人每月按不高于当地最低工资标准且不高于用人单位实际支付的工作补贴金额给予补贴。补贴期限最长不超过12个月。,"主依据文件(现行口径,2026-08-03);原广州办法穗人社规字〔2019〕6号(失效2024-10-15,以省清单为准)定义见习人员=离校未就业毕业2年内高校毕业生和16-24岁登记失业青年,见习期3-6个月最长12个月,单位须购人身意外保险;申领:广东公共就业服务云平台"
20,失业保险金申领,广州市失业保险常见问题解答（2025年11月版）,广州市人力资源和社会保障局（广州市人民政府门户发布）,（政务问答）,2025-12-05,https://www.gz.gov.cn/zwfw/zxfw/sbfw/content/post_10582009.html,失业人员同时符合下列条件的，可以领取失业保险金……（一）失业前用人单位和本人已经缴纳失业保险费累计满一年，或者不满一年但本人有失业保险金领取期限的。（二）非因本人意愿中断就业的……（三）已经办理失业登记，并有求职要求的。……失业保险金按照本市最低工资标准的百分之九十按月计发。目前发放标准为每月2250元。……失业人员缴费时间一至四年的，每满一年，失业保险金领取期限为一个月；四年以上的，超过四年的部分，每满半年，失业保险金领取期限增加一个月。失业保险金领取期限最长为二十四个月。,"主依据文件(2025-11版);标准=最低工资90%=2250元/月(2025年3月起);三个条件须同时满足;领取期限最长24个月;自受理之日起7个工作日内审核办结,审批通过后次月15日前发放;领金期间医保由失业保险基金代缴个人不缴费;每月须做资格核对;重新就业等情形须申报停领"
21,欠薪讨薪与劳动仲裁,广州市劳动人事争议仲裁网上申请流程,广州市人力资源和社会保障局（越秀区政府网转载）,（办事指引）,2022-05-06,http://www.yuexiu.gov.cn/zmhd/ywzsk/rs/content/post_8225627.html,"进入""粤省事""小程序，搜索""调解仲裁""服务……刷脸登陆，进入广州市仲裁申请业务……填写当事人信息、仲裁申请信息和上传资料……提交申请。……如您的仲裁申请已预受理的，请于5个工作日内通过现场或EMS邮寄方式递交材料以完成正式受理。","主依据文件(办事流程);劳动仲裁免费且是劳动争议诉讼前置程序;仲裁时效=知道或应当知道权利被侵害之日起1年内;现场受理地址/邮寄说明见市人社局""广州市劳动人事争议仲裁服务指南""rsj.gz.gov.cn/ywzt/ldgx/ldrszyzc/zcgg;先协商或向劳动监察投诉(12333)再仲裁"
22,灵活就业人员参保,灵活就业人员参加养老保险简介,广州市人力资源和社会保障局（社保中心）,（依据粤人社规〔2020〕30号、粤人社规〔2021〕5号）,2021-08-05,https://rsj.gz.gov.cn/zmhd/cjwt/ldbz/content/post_8015936.html,2020年9月1日起，灵活就业人员在我市可按规定参加养老保险。……以下人员可按规定参加企业职工基本养老保险：无雇工的个体工商户；未在用人单位参加基本养老保险的非全日制从业人员；依托电子商务、网络约车、网络送餐、快递物流等新业态平台实现就业，且未与新业态平台企业建立劳动关系的信息就业形态从业人员；国家和我省规定的其他灵活就业人员。……按照自愿参保原则，法定劳动年龄内的上述灵活就业人员可以个人身份申请参加企业职工基本养老保险，由个人缴纳基本养老保险费。……灵活就业人员的月缴费工资基数，在参保地企业职工基本养老保险的缴费工资基数上下限范围内，由本人自行选择。灵活就业人员的缴费比例为20%，其中12%计入统筹基金，8%计入个人账户。,"主依据文件(2021-08-05);依据粤人社规〔2020〕30号+粤人社规〔2021〕5号;本市户籍凭身份证,非本市户籍凭身份证+省就业登记证明,港澳台凭居住证或就业登记证明;缴费比例20%(12%统筹+8%个账);办理渠道=参保地税务机关(广东电子税务局etax.guangdong.chinatax.gov.cn/粤省事);2021-04-01起省内养老关系不再转移、由最后参保地归集"
23,社保卡申领与补办,怎么申领广州市社会保障卡？,广州市人力资源和社会保障数据服务中心（挂广州市社会保障卡服务中心牌子）,（办事指引）,2026-06-25,https://rsj.gz.gov.cn/ywzt/shbz/gzsshbzk/fwzy/bmwd/content/post_2419165.html,"申领人本人有效身份证件原件。……社会保障卡（以下简称社保卡）相片回执号。……目前我市社保卡服务银行有工商银行、农业银行、中国银行、建设银行、交通银行、邮储银行、中信银行、光大银行、招商银行、浦发银行、民生银行、平安银行、兴业银行、广发银行、广州银行、广州农商银行，申领人在申领时可自愿选择服务银行。……第一步：提前准备社保卡相片回执号……通过""穗好办""APP……或""广州人社""微信公众号……上传1张正面免冠白底彩色头像电子相片……社保卡经办机构将在1个至5个工作日内完成审核……第二步：办理申领……网上办理（可选付费邮寄〔港澳台居民暂不支持邮寄领卡〕或银行网点现场领卡，需等待12个工作日领卡）……第三步：领卡……第四步：设置密码……社保卡设置密码后，持卡人才能凭卡支取或转出金融账户的资金，或者在医保定点医院、药店使用职工医保个人账户资金支付医药费用。","主依据文件(2026-06-25);对象=本市户籍人员及依法享受本市社保待遇的非本市户籍人员;需身份证件原件+相片回执号(穗好办/广州人社上传358×441白底照,1-5工作日审核);网上申领渠道=穗好办/粤省事/广东人社/广东政务服务网;银行网点可即时制卡(立等可取)或限时制卡(12个工作日);16家服务银行自愿选择;领卡后须设置密码才能用金融账户和医保个账"
24,养老保险缴费与退休办理,2025年，广州市企业职工基本养老金申领详解,广州市人力资源和社会保障局（社保中心）,（办事指引）,2025-08-21,https://rsj.gz.gov.cn/ywzt/ldgx/ldlscjg/sb/ywbl/content/post_10412552.html,申领基本养老金的参保人必须同时符合以下年龄条件和缴费年限条件：（一）年龄条件：达到国家规定的退休年龄。（二）缴费年限条件：达到法定退休年龄时累计缴费（含视同缴费年限）满15年。如选择弹性提前退休的，达到所选择退休年龄时累计缴费（含视同缴费年限）满15年。（注：适用于2029年12月31日前退休的参保人）……法定办结时限：20个工作日；承诺办结时限：10个工作日（不包括参保单位或参保人补充材料的时间）……经审核符合领取基本养老金条件的，基本养老金将于审核通过的次月10日前通过受托银行划入退休人员的银行账户。,"主依据文件(2025-08-21);材料=《企业职工基本养老保险待遇申报表》(本人签名)+《企业职工基本养老保险退休时间申请书》+已激活金融功能的社保卡;弹性退休依据人社部发〔2024〕94号(2025-01-01起实施);不收费;退休当月到税务部门办停保;跨省参保先办转移、欠费先补缴;离退休人员每年须做资格认证,逾期暂停发放"
25,养老金领取资格认证,广州市社会保险基金管理中心关于开展2025年企业职工和城乡居民养老保险待遇领取资格认证的通告,广州市社会保险基金管理中心,（年度通告）,2025-03-31,https://rsj.gz.gov.cn/ywzt/ztbd/zszhlwgzqmlslbrw/ylbx/content/post_10200153.html,符合企业职工基本养老保险和城乡居民基本养老保险待遇领取条件的参保人一年至少进行一次资格认证，每次认证时间间隔不超过12个月，可全年申办。……按月领取企业职工基本养老保险和城乡居民基本养老保险待遇的参保人应一年至少进行一次资格认证，每次认证周期为12个月，认证周期自最近一次认证通过时间的次月开始计算。……逾期未认证人员，将按规定暂停发放相关待遇。,"主依据文件(2025年度通告,市社保基金中心2025-03-27);渠道=粤省事/穗好办/电子社保卡小程序+广东人社/掌上12333APP+国家社保平台人脸识别,或街镇社保经办(退管)机构/社保服务主题银行网点/粤智助;企业退休补发时长24个月(含)内、城乡12个月(含)内认证后自动恢复补发;港澳到指定网点(香港工会联合会/澳门社保基金等),境外用外交部""中国领事""APP"
26,社保补缴与转移,"""社保服务进万家""问答课堂——如何进行企业基本养老保险转移",广州市人力资源和社会保障局（广州市政府门户发布）,（政务问答）,2025-10-15,https://www.gz.gov.cn/zwfw/zxfw/sbfw/content/post_10496320.html,跨省流动就业人员并按规定在我省参保缴费后，符合以下条件之一的，可以申请办理基本养老保险关系转入接续：1.男性不满50周岁、女性不满40周岁的。2.经县级以上党委组织部门、人力资源社会保障行政部门批准调动，且与调入单位建立劳动关系并缴纳基本养老保险费的。3.达到法定退休年龄时，最后参保地在省内所属社会保险经办机构，且在广东省内参保的累计缴费年限满10年的（临时缴费账户除外）。4.户籍地为广东省户籍的……自2021年4月1日起，参保人在广东省内流动就业参保的，不再办理企业职工养老保险关系省内转移接续手续。由最后参保地社保经办机构做好数据归集工作。,"主依据文件(转移,2025-10-15);另据《广州市社会保险费补缴相关政策及业务宣传指引》rsj.gz.gov.cn/ywzt/shbz/gzdt/content/post_10687982.html(2026-02-12):单位主动补缴经主管税务机关(材料=补缴申请表+身份证件和户籍证明+劳动合同+工资流水+补缴承诺书),特定情形一次性缴费经社保经办机构(如早期离开国有集体企业人员等);达退休年龄缴费不足可向税务申请延缴,2011-07前参保且延缴5年仍不足可一次性趸缴;违规补缴涉刑(刑法266条解释+社保法88条处骗取金额2-5倍罚款)"
27,最低生活保障,广州市民政局  广州市财政局关于印发我市2025年最低生活保障及相关社会救助标准的通知,广州市民政局、广州市财政局,穗民规字〔2025〕2号,2025-05-30,https://www.gz.gov.cn/gfxwj/sbmgfxwj/gzsmzj/content/post_10291577.html,（一）全市城乡最低生活保障标准为每人每月1309元。（二）最低生活保障边缘家庭认定标准按最低生活保障标准的1.5倍确定，为每人每月1963.5元。（三）特困人员基本生活标准按本市最低生活保障标准的1.6倍且不低于所在区现行特困人员基本生活标准确定……越秀区、海珠区、荔湾区、天河区、白云区、花都区、从化区、增城区的城乡特困人员基本生活标准为每人每月2094.4元……（四）孤儿养育标准和事实无人抚养儿童基本生活补贴标准为每人每月2976元。（五）成年流浪乞讨受助人员基本饮食标准为每人每月785.4元；未成年人受助人员基本饮食标准为每人每月916.3元。,"主依据文件;低保/特困/孤儿标准2025-01-01起执行,低保边缘家庭及分类救济标准2025-06-01起执行;有效期1年;2026年标准以当年穗民规字通知为准"
